"identifier","preflabel","altLabel","uri"
"SDN:P06::MMPL","Millimoles per litre","mmol/l","http://vocab.nerc.ac.uk/collection/P06/current/MMPL/"
"SDN:P06::MMOM","Millimoles per mole","mmol/mol","http://vocab.nerc.ac.uk/collection/P06/current/MMOM/"
"SDN:P06::MMSM","Millimoles per square metre","mmol/m^2","http://vocab.nerc.ac.uk/collection/P06/current/MMSM/"
"SDN:P06::UMDX","Millimoles per square metre per day","mmol/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/UMDX/"
"SDN:P06::UYMA","Millions of years before present","Myr","http://vocab.nerc.ac.uk/collection/P06/current/UYMA/"
"SDN:P06::MRAD","Millirads per hour","mRad/hr","http://vocab.nerc.ac.uk/collection/P06/current/MRAD/"
"SDN:P06::UMSC","Milliseconds","ms","http://vocab.nerc.ac.uk/collection/P06/current/UMSC/"
"SDN:P06::UUMV","Millivolts","mV","http://vocab.nerc.ac.uk/collection/P06/current/UUMV/"
"SDN:P06::MWSR","Milliwatts per square centimetre per micrometre per steradian","mW/cm^2/um/sr","http://vocab.nerc.ac.uk/collection/P06/current/MWSR/"
"SDN:P06::MWNM","Milliwatts per square metre per nanometre","mW/m^2/nm","http://vocab.nerc.ac.uk/collection/P06/current/MWNM/"
"SDN:P06::MWNS","Milliwatts per square metre per nanometre per steradian","mW/m^2/nm/sr","http://vocab.nerc.ac.uk/collection/P06/current/MWNS/"
"SDN:P06::UMIN","Minutes","min","http://vocab.nerc.ac.uk/collection/P06/current/UMIN/"
"SDN:P06::MOLE","Moles","mol","http://vocab.nerc.ac.uk/collection/P06/current/MOLE/"
"SDN:P06::UMPE","Moles per Einstein","mol/E","http://vocab.nerc.ac.uk/collection/P06/current/UMPE/"
"SDN:P06::MLM3","Moles per cubic metre","mol/m^3","http://vocab.nerc.ac.uk/collection/P06/current/MLM3/"
"SDN:P06::MM3S","Moles per cubic metre per second","mol/m^3/s","http://vocab.nerc.ac.uk/collection/P06/current/MM3S/"
"SDN:P06::MPGH","Moles per gram per hour","mol/gram/h","http://vocab.nerc.ac.uk/collection/P06/current/MPGH/"
"SDN:P06::MLKG","Moles per kilogram","mol/kg","http://vocab.nerc.ac.uk/collection/P06/current/MLKG/"
"SDN:P06::MPLT","Moles per litre","mol/l","http://vocab.nerc.ac.uk/collection/P06/current/MPLT/"
"SDN:P06::MPMX","Moles per mole","mol/mol","http://vocab.nerc.ac.uk/collection/P06/current/MPMX/"
"SDN:P06::MLPS","Moles per second","mol/s","http://vocab.nerc.ac.uk/collection/P06/current/MLPS/"
"SDN:P06::MLM2","Moles per square metre","mol/m^2","http://vocab.nerc.ac.uk/collection/P06/current/MLM2/"
"SDN:P06::M2MS","Moles per square metre per second","mol/m^2/s","http://vocab.nerc.ac.uk/collection/P06/current/M2MS/"
"SDN:P06::M2MM","Moles per square metre per second per metre","mol/m^2/s/m","http://vocab.nerc.ac.uk/collection/P06/current/M2MM/"
"SDN:P06::M2SR","Moles per square metre per second per metre per steradian","mol/m^2/s/m/sr","http://vocab.nerc.ac.uk/collection/P06/current/M2SR/"
"SDN:P06::M3SR","Moles per square metre per second per steradian","mol/m^2/s/sr","http://vocab.nerc.ac.uk/collection/P06/current/M3SR/"
"SDN:P06::UMNT","Months","mon","http://vocab.nerc.ac.uk/collection/P06/current/UMNT/"
"SDN:P06::UNBQ","Nanobecquerels per litre","nBq/l","http://vocab.nerc.ac.uk/collection/P06/current/UNBQ/"
"SDN:P06::UNPI","Nanograms","ng","http://vocab.nerc.ac.uk/collection/P06/current/UNPI/"
"SDN:P06::UNID","Nanograms per day","ng/d","http://vocab.nerc.ac.uk/collection/P06/current/UNID/"
"SDN:P06::NGPG","Nanograms per gram","ng/g","http://vocab.nerc.ac.uk/collection/P06/current/NGPG/"
"SDN:P06::UNIM","Nanograms per individual per minute","ng/ind/min","http://vocab.nerc.ac.uk/collection/P06/current/UNIM/"
"SDN:P06::NGKG","Nanograms per kilogram","ng/kg","http://vocab.nerc.ac.uk/collection/P06/current/NGKG/"
"SDN:P06::UNGL","Nanograms per litre","ng/l","http://vocab.nerc.ac.uk/collection/P06/current/UNGL/"
"SDN:P06::UNUL","Nanograms per microlitre","ng/ul","http://vocab.nerc.ac.uk/collection/P06/current/UNUL/"
"SDN:P06::UXNM","Nanometres","nm","http://vocab.nerc.ac.uk/collection/P06/current/UXNM/"
"SDN:P06::NMCH","Nanomoles per cubic centimetre per hour","nmol/cm^3/h","http://vocab.nerc.ac.uk/collection/P06/current/NMCH/"
"SDN:P06::KGNM","Nanomoles per kilogram","nmol/kg","http://vocab.nerc.ac.uk/collection/P06/current/KGNM/"
"SDN:P06::UPNM","Nanomoles per litre","nmol/l","http://vocab.nerc.ac.uk/collection/P06/current/UPNM/"
"SDN:P06::UNMD","Nanomoles per litre per day","nmol/l/d","http://vocab.nerc.ac.uk/collection/P06/current/UNMD/"
"SDN:P06::UNMH","Nanomoles per litre per hour","nmol/l/h","http://vocab.nerc.ac.uk/collection/P06/current/UNMH/"
"SDN:P06::NMGH","Nanomoles per microgram per hour","nmol/ug/h","http://vocab.nerc.ac.uk/collection/P06/current/NMGH/"
"SDN:P06::NMMM","Nanomoles per micromole","nmol/umol","http://vocab.nerc.ac.uk/collection/P06/current/NMMM/"
"SDN:P06::NMMD","Nanomoles per micromole per day","nmol/umol/d","http://vocab.nerc.ac.uk/collection/P06/current/NMMD/"
"SDN:P06::NSQD","Nanomoles per square metre per day","nmol/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/NSQD/"
"SDN:P06::UMAA","Nanoteslas","nT","http://vocab.nerc.ac.uk/collection/P06/current/UMAA/"
"SDN:P06::USTU","Nephelometric Turbidity Units","NTU","http://vocab.nerc.ac.uk/collection/P06/current/USTU/"
"SDN:P06::NCUM","Newtons per cubic metre","N/m^3","http://vocab.nerc.ac.uk/collection/P06/current/NCUM/"
"SDN:P06::NTPM","Newtons per metre","N/m","http://vocab.nerc.ac.uk/collection/P06/current/NTPM/"
